Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
LaserJet 3390,10.139.80.68,TRUE,8/16/2013 - 11/14/2013,9190,11/14/2013 11:54 AM,06/11/2013 12:00,10000,10.139.80.68,Mono,HP,LaserJet 3390,22,,CNRJR08799,58%,,,,,,,,86134,95324,86134,95324,,,,,,,,,,,,,,
LaserJet 3390,,TRUE,8/16/2013 - 11/14/2013,142,10/02/2013 7:44,10/01/2013 12:14,10000,10.139.114.56,Mono,HP,LaserJet 3390,22,,CNLJP70204,Unknown,,,,,,,,25429,25571,25429,25571,,,,,,,,,,,,,,
LaserJet 400 color M451dn,,TRUE,8/16/2013 - 11/14/2013,177,11/14/2013 11:54 AM,06/11/2013 12:00,20000,10.139.3.33,Mono,HP,LaserJet 4,8,,CNBH305863,13%,52%,42%,44%,,,,,1145,1322,445,461,700,861,,,,,,,,,,,,
LaserJet 400 color M451dn,10.139.40.22,TRUE,8/16/2013 - 11/14/2013,263,11/14/2013 11:54 AM,06/11/2013 12:00,20000,10.139.40.22,Mono,HP,LaserJet 4,8,,CNBH110600,96%,45%,43%,45%,,,,,6130,6393,1991,2053,4139,4340,,,,,,,,,,,,
LaserJet 400 color M451dn,10.139.40.19,TRUE,8/16/2013 - 11/14/2013,440,11/14/2013 11:54 AM,06/11/2013 12:00,20000,10.139.40.19,Mono,HP,LaserJet 4,8,,CNBH305659,87%,0%,37%,55%,,,,,3621,4061,231,271,3390,3790,,,,,,,,,,,,
LaserJet 400 color M451dn,10.139.3.45,TRUE,8/16/2013 - 11/14/2013,1785,11/05/2013 12:13,06/11/2013 23:14,20000,10.139.3.45,Mono,HP,LaserJet 4,8,,CNBH212105,39%,36%,36%,44%,,,,,6867,8652,773,859,6094,7793,,,,,,,,,,,,
LaserJet 400 M401dn,,TRUE,8/16/2013 - 11/14/2013,3474,11/14/2013 11:54 AM,06/11/2013 12:00,20000,10.139.3.19,Mono,HP,LaserJet 4,8,,JPBDY02355,63%,,,,,,,,4031,7505,4031,7505,,,,,,,,,,,,,,
LaserJet 400 M401dn,,TRUE,8/16/2013 - 11/14/2013,2951,11/14/2013 11:54 AM,06/11/2013 12:00,20000,10.139.114.49,Mono,HP,LaserJet 4,8,,VNB3B07776,5%,,,,,,,,24187,27138,24187,27138,,,,,,,,,,,,,,
LaserJet 400 M401dn,10.139.114.50,TRUE,8/16/2013 - 11/14/2013,4925,11/14/2013 11:54 AM,06/11/2013 12:00,20000,10.139.114.50,Mono,HP,LaserJet 4,8,,VNB3N03918,31%,,,,,,,,20244,25169,20244,25169,,,,,,,,,,,,,,
LaserJet 4000 Series,,TRUE,8/16/2013 - 11/14/2013,114,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.1.55,Mono,HP,LaserJet 4000,17,,USMC022278,OK,,,,,,,,54950,55064,54950,55064,,,,,,,,,,,,,,
LaserJet 4000 Series,10.139.3.35,TRUE,8/16/2013 - 11/14/2013,1369,11/14/2013 11:54 AM,06/12/2013 11:30,65000,10.139.3.35,Mono,HP,LaserJet 4000,17,,USNC008742,OK,,,,,,,,535343,536712,535343,536712,,,,,,,,,,,,,,
LaserJet 4050 Series,10.139.3.9,TRUE,8/16/2013 - 11/14/2013,842,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.3.9,Mono,HP,LaserJet 4050,17,,USCF023184,90%,,,,,,,,361496,362338,361496,362338,,,,,,,,,,,,,,
