Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
LaserJet 4050 Series,,TRUE,8/17/2013 - 11/15/2013,6788,11/15/2013 1:04 AM,05/09/2013 14:24,65000,10.8.42.20,Mono,HP,LaserJet 4050,17,,USQX040409,10%,,,,,,,,323197,329985,323197,329985,,,,,,,,,,,,,,
LaserJet 4050 Series,,TRUE,8/17/2013 - 11/15/2013,2617,11/15/2013 1:04 AM,05/09/2013 14:24,65000,10.8.42.13,Mono,HP,LaserJet 4050,17,,US7F033237,0%,,,,,,,,361160,363777,361160,363777,,,,,,,,,,,,,,
LaserJet 4050 Series,,TRUE,8/17/2013 - 11/15/2013,419,11/15/2013 1:04 AM,05/09/2013 14:24,65000,10.8.42.49,Mono,HP,LaserJet 4050,17,,USQF013541,10%,,,,,,,,141799,142218,141799,142218,,,,,,,,,,,,,,
LaserJet 4050 Series,,TRUE,8/17/2013 - 11/15/2013,2162,11/15/2013 1:04 AM,05/09/2013 14:24,65000,10.8.43.22,Mono,HP,LaserJet 4050,17,,USBB219137,0%,,,,,,,,259228,261390,259228,261390,,,,,,,,,,,,,,
LaserJet 4100 Series,,TRUE,8/17/2013 - 11/15/2013,10172,11/15/2013 1:04 AM,05/09/2013 14:24,150000,10.8.42.23,Mono,HP,LaserJet 4100,25,,USGNJ15406,54%,,,,,,,,227696,237868,227696,237868,,,,,,,,,,,,,,
LaserJet 4100 Series,,TRUE,8/17/2013 - 11/15/2013,1359,10/08/2013 13:02,05/09/2013 14:24,150000,10.8.43.13,Mono,HP,LaserJet 4100,25,,USJNK23774,33%,,,,,,,,407773,409132,407773,409132,,,,,,,,,,,,,,
LaserJet 4100 Series,,TRUE,8/17/2013 - 11/15/2013,1193,11/15/2013 1:04 AM,05/09/2013 14:24,150000,10.8.43.17,Mono,HP,LaserJet 4100,25,,USLNJ15724,51%,,,,,,,,218773,219966,218773,219966,,,,,,,,,,,,,,
LaserJet 4200,,TRUE,8/17/2013 - 11/15/2013,10701,11/15/2013 1:04 AM,05/09/2013 14:24,150000,10.8.42.14,Mono,HP,LaserJet 4200,35,,USDNP00446,27%,,,,,,,,406814,417515,406814,417515,,,,,,,,,,,,,,
LaserJet 4200,,TRUE,8/17/2013 - 11/15/2013,1231,11/15/2013 1:04 AM,05/09/2013 14:24,150000,10.8.43.21,Mono,HP,LaserJet 4200,35,,CNDX500722,25%,,,,,,,,86982,88213,86982,88213,,,,,,,,,,,,,,
LaserJet 4200,,TRUE,8/17/2013 - 11/15/2013,8081,11/15/2013 1:04 AM,05/09/2013 14:24,150000,10.8.43.48,Mono,HP,LaserJet 4200,35,,CNDX600822,10%,,,,,,,,272121,280202,272121,280202,,,,,,,,,,,,,,
LaserJet 4250,,TRUE,8/17/2013 - 11/15/2013,5268,11/15/2013 1:04 AM,05/09/2013 14:24,200000,10.8.43.16,Mono,HP,LaserJet 4250,45,,CNGXG52125,26%,,,,,,,,168915,174183,168915,174183,,,168915,174183,,,,,,,,,,
LaserJet 4250,,TRUE,8/17/2013 - 11/15/2013,119,11/15/2013 1:04 AM,05/09/2013 14:24,200000,10.8.43.24,Mono,HP,LaserJet 4250,45,,CNGXC54492,66%,,,,,,,,12829,12948,12829,12948,,,12829,12948,,,,,,,,,,
LaserJet 4350,,TRUE,8/17/2013 - 11/15/2013,7590,11/06/2013 14:47,05/09/2013 14:24,250000,10.8.42.30,Mono,HP ,LaserJet 4350,55,,USBXX17398,54%,,,,,,,,1244423,1252013,1244423,1252013,,,1244413,1252003,,,,,,,,,,
LaserJet 4350,,TRUE,8/17/2013 - 11/15/2013,0,07/10/2013 13:08,05/09/2013 14:24,250000,10.8.43.15,Mono,HP ,LaserJet 4350,55,,CNRXG94559,75%,,,,,,,,164482,164482,164482,164482,,,164482,164482,,,,,,,,,,
LaserJet 4350,,TRUE,8/17/2013 - 11/15/2013,10887,11/15/2013 1:04 AM,05/09/2013 14:24,250000,10.8.43.19,Mono,HP ,LaserJet 4350,55,,CNRXR14322,32%,,,,,,,,239745,250632,239745,250632,,,239715,250602,,,,,,,,,,
LaserJet 5,,TRUE,8/17/2013 - 11/15/2013,1298,11/14/2013 6:00 PM,05/09/2013 14:24,,10.8.43.12,Mono,HP,Monochrome Device,,,S4601LFE0BH,OK,,,,,,,,118698,119996,118698,119996,,,,,,,,,,,,,,
LaserJet 500 color M551,,TRUE,8/17/2013 - 11/15/2013,5317,11/15/2013 1:04 AM,6/28/2013 2:13 PM,,10.8.42.28,Color,HP,Color Device,,,CNCCF3D1FX,33%,37%,36%,42%,,,,,3547,8864,1957,3711,1590,5153,2254,4411,1293,4453,,,,,,,,
LaserJet 500 color M551,,TRUE,8/17/2013 - 11/15/2013,298,11/15/2013 1:04 AM,09/04/2013 16:27,,10.8.41.16,Color,HP,Color Device,,,CNCCF581B5,93%,95%,93%,94%,,,,,2,300,0,73,2,227,,97,2,203,,,,,,,,
LaserJet 5100 Series,,TRUE,8/17/2013 - 11/15/2013,2058,11/15/2013 1:04 AM,05/09/2013 14:24,65000,10.8.42.27,Mono,HP,LaserJet 5100,21,,CNGN116649,OK,,,,,,,,246583,248641,246583,248641,,,,,,,,,,,,,,
LaserJet 600 M601,,TRUE,8/17/2013 - 11/15/2013,850,11/15/2013 1:04 AM,11/07/2013 3:56,,10.8.42.30,Mono,HP,Monochrome Device,,,CNCCFB11GQ,96%,,,,,,,,12,862,12,862,,,12,862,,,,,,,,,,
LaserJet 600 M602,,TRUE,8/17/2013 - 11/15/2013,14847,11/15/2013 1:04 AM,05/09/2013 14:24,,10.8.42.47,Mono,HP,Monochrome Device,,,CNBCD6L0NF,77%,,,,,,,,63930,78777,63930,78777,,,63929,78771,,,,,,,,,,
