StartDate,EndDate,printermodelid,devicename,ipaddress,Serialnumber,ModelName,Manufacturer,ManagementStatus,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,Start11x7,End11x7,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow,Black Coverage,Cyan Coverage,Magenta Coverage,Yellow Coverage,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x B9BE,10.0.185.190,CNB9P22373,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:08 PM,CE505A,2300,,,,,,,,,,,50000,570,8,11642,12045,11642,12045,,,,,,,,,,,,,,,,,56.9%,,,,5.97,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x BC1F,10.0.188.31,CNB9P24752,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:24 PM,CE505A,2300,,,,,,,,,,,50000,570,8,195354,196960,195354,196960,,,,,,,,,,,,,,,,,3%,,,,1.20,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x C31E,10.0.195.30,CNB9P22303,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:25 PM,CE505A,2300,,,,,,,,,,,50000,570,8,64577,65520,64577,65520,,,,,,,,,,,,,,,,,46%,,,,4.04,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x F51E,10.0.245.30,CNB9P22309,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:29 PM,CE505A,2300,,,,,,,,,,,50000,570,8,76729,78230,76729,78230,,,,,,,,,,,,,,,,,7%,,,,1.77,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x F521,10.0.245.33,CNB9P22357,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:29 PM,CE505A,2300,,,,,,,,,,,50000,570,8,13291,13299,13291,13299,,,,,,,,,,,,,,,,,25%,,,,5.00,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 0135,10.0.191.34,CNXXX00000,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/28/2011 11:03:28 AM,Q7551X,13000,,,,,,,,,,,100000,600,9,181999,184887,181999,184887,,,,,,,,,,,,,,,,,13%,,,,3.91,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 3721,10.0.55.33,CNJ1S69373,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/28/2011 11:03:30 AM,Q7551X,13000,,,,,,,,,,,100000,600,9,89898,91510,89898,91510,,,,,,,,,,,,,,,,,23%,,,,4.15,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 7F1E,10.0.127.30,CND1R09708,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:24 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,92330,93401,92330,93401,,,,,,,,,,,,,,,,,61%,,,,4.06,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 891E,10.0.137.30,CNB1P01506,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:17 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,,,,,,,,,,,,,,,,,,,,,99%,,,,4.26,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 941F,10.0.148.31,CND1P08590,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,5/14/2013 12:55:14 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,3405,3693,3405,3693,,,,,,,,,,,,,,,,,96%,,,,4.29,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 9721,10.0.151.33,CND1R65503,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:17 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,127530,128895,127530,128895,,,,,,,,,,,,,,,,,10%,,,,3.33,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 9824,10.0.152.36,CNG1X12967,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:13 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,,,,,,,,,,,,,,,,,,,,,4%,,,,3.74,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 991E,10.0.153.30,CNJ1R68028,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:29 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,52811,55152,52811,55152,,,,,,,,,,,,,,,,,90%,,,,4.45,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 9A20,10.0.154.32,CNJ1P30385,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:18 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,,,,,,,,,,,,,,,,,,,,,9%,,,,3.83,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 9E21,10.0.158.33,CNR2R03717,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:25 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,206691,210162,206691,210162,,,,,,,,,,,,,,,,,11%,,,,3.08,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 AC1E,10.0.172.30,CNG1N02321,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:12 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,30022,30286,30022,30286,,,,,,,,,,,,,,,,,50%,,,,4.90,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 BE20,10.0.190.32,CNR1N14616,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:20 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,4551,4563,4551,4563,,,,,,,,,,,,,,,,,16%,,,,4.69,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 C01E,10.0.192.30,CNG1X16773,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Unmanaged,False,False,False,False,,,10/3/2006 12:00:00 AM,,9/29/2011 12:38:11 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,132881,134240,132881,134240,,,,,,,,,,,,,,,,,83%,,,,3.16,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,21217,HP LaserJet P3005 CB1F,10.0.203.31,CNR2R04082,Hewlett-Packard LaserJet P3005n,Hewlett-Packard,Managed,False,False,False,False,,,10/3/2006 12:00:00 AM,,7/16/2012 12:01:33 PM,Q7551X,13000,,,,,,,,,,,100000,600,9,28761,29581,28761,29581,,,,,,,,,,,,,,,,,95%,,,,5.19,,,,
