rmsVendorName,rmsReportVersion,manufacturer,modelName,rmsModelId,deviceId,rawDeviceName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,ppmBlack,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerCyanSku,oemTonerCyanYield,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerYellowSku,oemTonerYellowYield,dutyCycle,wattsOperating,wattsIdle,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterVirtualA3Black,endMeterVirtualA3Black,startMeterVirtualA3Color,endMeterVirtualA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,monoCoverage,colorCoverage,discoveryDate,monitorStartDate,monitorEndDate
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,eb4c092a-aa4a-2b35-1002-f48eb01c7b7e,C711 F68F,Managed,,AK41020916,10.120.246.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,3377,7640,1425,2814,1952,4826,,,,,,,,,,,,,,,,,70%,20%,80%,90%,10.07,0,2014-04-10T14:36:37.950,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,2f1cd21f-7ade-6a68-067d-f423af737ddd,C711 CB8F,Managed,,AK33000453,10.108.203.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,7417,10533,2266,3364,5151,7169,,,,,,,,,,,,,,,,,50%,80%,50%,60%,10.27,0,2014-04-10T14:36:18.070,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,454ae2de-8ccd-7d4d-1c70-f532f3d58285,C711 8D8F,Managed,,AK33045803,10.130.141.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,9417,15933,3904,6463,5513,9470,,,,,,,,,,,,,,,,,80%,70%,30%,50%,21.07,22.31,2014-04-10T14:36:11.780,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,d3e1272c-8b83-40e3-97c2-f54142dee1e0,C711,Managed,,AK42024040,10.134.9.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,22,2791,7,1775,15,1016,,,,,,,,,,,,,,,,,40%,80%,70%,70%,17.12,0,2014-05-23T15:33:53.217,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,f128515b-3147-469a-b9e7-f57df546534d,C711,Managed,,AK24013323,10.116.32.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,35,1659,5,218,30,1441,,,,,,,,,,,,,,,,,60%,70%,60%,60%,15.68,0,2014-07-17T00:12:31.730,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,3197e3b8-310e-ef2b-902c-f5861f158537,C711 B08F,Managed,,AK33041819,10.126.176.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,4041,7766,1302,2427,2739,5339,,,,,,,,,,,,,,,,,70%,20%,80%,90%,8.4,0,2014-04-10T14:37:08.540,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,e1f895b6-0007-5c60-4ba8-f55bd1cd6f4d,C711 2F8F,Managed,,AK33041724,10.115.47.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,5723,8192,2370,3177,3353,5015,,,,,,,,,,,,,,,,,70%,10%,80%,90%,7.2,20.07,2014-04-10T14:36:54.800,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,b0641195-6e3b-72b8-7ce1-f5cf60940ae8,C711 B98F,Managed,,AK33041822,10.139.185.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,4650,8874,1876,3075,2774,5799,,,,,,,,,,,,,,,,,60%,100%,80%,90%,3.32,16.85,2014-04-10T14:37:16.573,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,d106520c-84a0-4aa5-b895-f5f00751de74,C711,Managed,,AK25011386,10.104.210.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,22,2289,7,512,15,1777,,,,,,,,,,,,,,,,,50%,60%,60%,70%,0,0,2014-06-09T22:00:17.837,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,3cd43c97-1e02-b4a7-db80-f602768106eb,C711 E48F,Managed,,AK19028673,10.104.228.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,9921,18277,3559,6453,6362,11824,,,,,,,,,,,,,,,,,70%,70%,70%,80%,9.69,0,2014-04-10T14:36:12.567,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,7926b539-20e8-72a6-3d09-f6276d122e32,C711 C58F,Managed,,AK33025323,10.121.197.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,13651,23066,5398,9360,8253,13706,,,,,,,,,,,,,,,,,90%,60%,60%,60%,12.56,18.43,2014-04-10T14:37:10.013,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,41991476-3aa3-4a43-b1eb-f697edeb6462,C711,Managed,,AK43016001,10.133.94.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,167,2295,23,387,144,1908,,,,,,,,,,,,,,,,,60%,70%,60%,60%,0,0,2014-07-24T20:55:38.337,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,eb2903b0-591f-05dc-1585-f6e0d6587a7f,C711 C08F,Managed,,AK33041574,10.110.192.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,8286,12735,3848,5329,4438,7406,,,,,,,,,,,,,,,,,40%,100%,70%,80%,3.88,20.62,2014-04-10T14:37:03.513,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,c406d782-34d4-000e-9bcd-f6e845840925,C711 988F,Managed,,AK33045798,10.106.152.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,6206,11752,2880,5943,3326,5809,,,,,,,,,,,,,,,,,40%,90%,70%,80%,7.49,16.65,2014-04-10T14:36:25.193,2014-05-23T17:38:00,2014-08-21T17:38:00
