StartDate,EndDate,printermodelid,ipaddress,Serialnumber,ModelName,Manufacturer,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow
08/01/2011 0:00,09/01/2011 0:00,23728,10.136.1.61,932082681,Dell 3130cn,Dell,TRUE,FALSE,FALSE,FALSE,30,26,08/05/2008 0:00,,6/27/2011 2:57:08 PM,330-1197,4000,70,330-1194,3000,100,330-1195,3000,100,330-1196,3000,100,70000,,,,,,,,,,,,,,,,,,,,,30%,80%,100%,100%
08/01/2011 0:00,09/01/2011 0:00,25858,10.100.1.5,933830729,Dell 5130cdn,Dell,TRUE,FALSE,FALSE,FALSE,47,47,11/10/2009 0:00,,6/27/2011 3:04:09 PM,330-5846,18000,136.99,330-5850,12000,244.99,330-5843,12000,244.99,330-5852,12000,244.99,110000,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%
08/01/2011 0:00,09/01/2011 0:00,22301,10.100.1.45,930430065,Dell 1320c,Dell,TRUE,FALSE,FALSE,FALSE,16,12,6/20/2007 12:00:00 AM,,6/27/2011 3:04:09 PM,310-9059,1000,44.99,310-9061,1000,58.99,310-9065,1000,58.99,310-9063,1000,58.99,35000,265,35,5933,7158,2197,3009,3737,4149,,,,,,,,,,,,,100%,100%,20%,60%
08/01/2011 0:00,09/01/2011 0:00,20448,10.100.1.7,926924108,Dell 5110cn,Dell,TRUE,FALSE,FALSE,FALSE,40,35,5/23/2006 12:00:00 AM,,6/27/2011 3:04:09 PM,310-7889,18000,90,310-7892,8000,170,310-7889,12000,230,310-7895,12000,230,95000,600,45,25084,25321,10312,10322,14780,14999,,,,,,,,,,,,,40%,60%,60%,60%
08/01/2011 0:00,09/01/2011 0:00,17497,10.100.1.21,,Dell 3000CN,Dell,TRUE,FALSE,FALSE,FALSE,25,5,09/01/2004 0:00,,6/27/2011 3:04:10 PM,310-5726,4000,44.99,310-5739,2000,64.95,310-5738,2000,64.95,310-5737,2000,64.95,45000,,,17747,17779,17747,17779,,,,,,,,,,,,,,,30%,100%,80%,100%
08/01/2011 0:00,09/01/2011 0:00,17497,10.100.1.32,,Dell 3000CN,Dell,TRUE,FALSE,FALSE,FALSE,25,5,09/01/2004 0:00,,6/27/2011 3:04:09 PM,310-5726,4000,44.99,310-5739,2000,64.95,310-5738,2000,64.95,310-5737,2000,64.95,45000,,,50971,51975,50971,51975,,,,,,,,,,,,,,,40%,100%,60%,80%
08/01/2011 0:00,09/01/2011 0:00,17497,10.100.1.61,,Dell 3000CN,Dell,TRUE,FALSE,FALSE,FALSE,25,5,09/01/2004 0:00,,6/27/2011 3:04:09 PM,310-5726,4000,44.99,310-5739,2000,64.95,310-5738,2000,64.95,310-5737,2000,64.95,45000,,,29534,29643,29534,29643,,,,,,,,,,,,,,,60%,100%,80%,60%
08/01/2011 0:00,09/01/2011 0:00,17498,10.136.1.64,925412583,Dell 3100CN,Dell,TRUE,FALSE,FALSE,FALSE,25,5,09/01/2004 0:00,,6/27/2011 2:57:08 PM,310-5726,4000,44.99,310-5739,2000,64.95,310-5738,2000,64.95,310-5737,2000,64.95,45000,,,,,,,,,,,,,,,,,,,,,40%,100%,100%,40%
08/01/2011 0:00,09/01/2011 0:00,15876,10.100.1.6,992VRVG,Dell M5200N,Dell,FALSE,FALSE,FALSE,FALSE,35,,10/21/2003 12:00:00 AM,,6/27/2011 3:04:09 PM,310-4133,18000,229,,,,,,,,,,175000,580,95,204161,206630,204161,206630,,,,,,,,,,,,,,,30%,,,
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.12,927120320,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,6/27/2011 3:04:09 PM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,46902,46976,36930,36973,9972,10003,,,,,8575,8575,,,,,3252,3257,100%,100%,10%,15%
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.18,927121759,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,6/27/2011 3:04:09 PM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,73653,75263,44592,45664,29061,29599,,,,,9567,9670,1143,1143,,,1665,1690,40%,15%,15%,15%
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.20,934478708,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,6/27/2011 3:04:09 PM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,1511,2568,848,1318,663,1250,,,,,,,25,47,,,,,60%,100%,100%,100%
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.36,932518353,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,6/27/2011 3:04:09 PM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,6987,7289,3144,3260,3843,4029,,,,,,,273,281,,,,,5%,60%,80%,80%
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.37,932520298,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,6/27/2011 3:04:10 PM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,13320,13673,7209,7359,6114,6314,,,,,,,1825,1940,,,,,25%,100%,100%,100%
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.40,932520765,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,6/27/2011 3:04:10 PM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,,,,,,,,,,,,,,,,,,,40%,100%,100%,100%
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.54,932501318,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,6/27/2011 3:04:10 PM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,41471,41939,17682,17926,23790,24013,,,,,6125,6221,,,,,2888,2906,100%,100%,100%,100%
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.70,932518036,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,6/27/2011 3:04:09 PM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,13542,15455,9450,11264,4092,4191,,,,,,,1916,1959,,,534,547,100%,40%,40%,40%
08/01/2011 0:00,09/01/2011 0:00,21452,10.100.1.200,934479698,Dell Multifunction Color Laser 3115cn,Dell,TRUE,TRUE,TRUE,TRUE,31,17,11/13/2006 12:00:00 AM,,7/20/2011 10:40:13 AM,310-8395,8000,110,593-10166,4000,,593-10167,4000,,593-10168,4000,,60000,,,74,360,22,203,52,157,,,,,,,49,383,,,,,100%,100%,100%,100%
08/01/2011 0:00,09/01/2011 0:00,16787,10.100.1.60,ABT4707130,Kyocera FS-1920,Kyocera,FALSE,FALSE,FALSE,FALSE,28,,04/01/2004 0:00,,6/27/2011 3:04:09 PM,TK-55,15000,,,,,,,,,,,125000,425,11,96788,97459,96788,97459,,,,,,,,,,,,,,,75%,,,
08/01/2011 0:00,09/01/2011 0:00,18937,10.120.6.65,CNCC57K0S3,Hewlett-Packard Color LaserJet 2600n,Hewlett-Packard,TRUE,FALSE,FALSE,FALSE,8,8,05/10/2005 0:00,,6/27/2011 2:57:08 PM,Q6000A,2500,75,Q6001A,2000,82.99,Q6003A,2000,82.99,Q6002A,2000,82.99,35000,190,13,,,,,,,,,,,,,,,,,,,65%,12%,12%,12%
08/01/2011 0:00,09/01/2011 0:00,18930,10.100.1.51,CNFC63H06R,Hewlett-Packard Color LaserJet 2840,Hewlett-Packard,TRUE,TRUE,TRUE,TRUE,20,4,05/10/2005 0:00,,6/27/2011 3:04:10 PM,Q3960A,5000,,Q3961A,4000,,Q3963A,4000,,Q3962A,4000,,30000,398,26,87950,89289,72365,73475,15590,15814,40122,40958,13910,14130,32249,32517,1684,1684,32140,32431,,,97.10%,62.20%,94.10%,35.10%
08/01/2011 0:00,09/01/2011 0:00,18930,10.100.1.201,CNFC5BJ0FH,Hewlett-Packard Color LaserJet 2840,Hewlett-Packard,TRUE,TRUE,TRUE,TRUE,20,4,05/10/2005 0:00,,6/27/2011 3:04:09 PM,Q3960A,5000,,Q3961A,4000,,Q3963A,4000,,Q3962A,4000,,30000,398,26,65941,67082,47970,48661,17973,18421,19509,19735,16494,16942,28466,28926,,,13068,13527,,,84.50%,41.20%,41%,38%
08/01/2011 0:00,09/01/2011 0:00,19642,10.100.1.15,JPLLC21417,Hewlett-Packard Color LaserJet 4700,Hewlett-Packard,TRUE,FALSE,FALSE,FALSE,31,31,10/17/2005 12:00:00 AM,,6/27/2011 3:04:10 PM,Q5950A,11000,165,Q5951A,10000,240,Q5953A,10000,240,Q5952A,10000,240,100000,567,55,272740,278933,148998,153116,123742,125817,,,,,,,,,,,,,70%,2%,40%,58%
