rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,99,1758,Lexmark,MS410dn,MS410dn,Managed,,451430LM06YTH,172.20.13.204,,,,,,,,,,,,,,,,,,,,,,,,,,8845,9111,8845,9111,8845,9111,8808,9074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 4200,2082,Hewlett-Packard,LaserJet 4200,LaserJet 4200,Managed,,USDNL17893,172.20.13.209,,,,,,,,,,,,,,,,,,,,,,,,,,258780,262419,258780,262419,258780,262419,258780,262419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2132,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VNBCC1L05L,172.20.13.207,,,,,,,,,,,,,,,,,,,,,,,,,,67474,71187,67474,71187,67474,71187,67578,71187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet Professional P1606dn,1387994,Hewlett-Packard,LaserJet Professional P1606dn,LaserJet Professional P1606dn,Managed,,VNB3L70000,172.20.13.195,,,,,,,,,,,,,,,,,,,,,,,,,,7229,16801,7229,16801,7229,16801,7368,16801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11/22/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 400 M401dne,2153,Hewlett-Packard,LaserJet 400 M401dne,LaserJet 400 M401dne,Managed,,VNG4X03703,172.20.12.186,,,,,,,,,,,,,,,,,,,,,,,,,,15241,16305,15241,16305,15241,16305,15350,16305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,,,,Yes,,,,,09/23/2013,02/21/2015,05/23/2015,05/22/2015,tax/audit
Lexmark,1.0,BunzlDistribution,131,1387991,Lexmark,MS812,MS812,Managed,,406336990DDW3,172.20.13.225,,,,,,,,,,,,,,,,,,,,,,,,,,111396,123709,111396,123709,111396,123709,111331,123642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,03/04/2014,02/21/2015,05/23/2015,04/02/2015,,
Lexmark,1.0,BunzlDistribution,Infoprint 1572 791TWRM LS.ST.P240,1843,IBM,Infoprint 1572 791TWRM LS.ST.P240,Infoprint 1572 791TWRM LS.ST.P240,Managed,,791TWRM-54-4,172.20.13.233,,,,,,,,,,,,,,,,,,,,,,,,,,67850,69075,67850,69075,67850,69075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,131,1743,Lexmark,MS810,MS810,Managed,,4063269903R45,172.20.13.210,,,,,,,,,,,,,,,,,,,,,,,,,,57705,64110,57705,64110,57705,64110,57473,63849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,98,1760,Lexmark,MS310dn,MS310dn,Managed,,451431LM09KT4,172.20.13.243,,,,,,,,,,,,,,,,,,,,,,,,,,6481,6976,6481,6976,6481,6976,6470,6964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 1852 794M48F LR.JP.P413a,1872,Unknown,InfoPrint 1852 794M48F LR.JP.P413a,InfoPrint 1852 794M48F LR.JP.P413a,Managed,,794M48F-78-14,172.20.13.217,,,,,,,,,,,,,,,,,,,,,,,,,,42824,44076,42824,44076,42824,44076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,Tech Support
Lexmark,1.0,BunzlDistribution,LaserJet P2015 Series,1972,Hewlett-Packard,LaserJet P2015 Series,LaserJet P2015 Series,Managed,,CNBJR56538,172.20.13.221,,,,,,,,,,,,,,,,,,,,,,,,,,210549,217900,210549,217900,210549,217900,210549,217900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,"Boise, ID, USA"
Lexmark,1.0,BunzlDistribution,LaserJet P2015 Series,1970,Hewlett-Packard,LaserJet P2015 Series,LaserJet P2015 Series,Managed,,CNBJP40848,172.20.13.249,,,,,,,,,,,,,,,,,,,,,,,,,,51572,52073,51572,52073,51572,52073,51572,52073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,"Boise, ID, USA"
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1579,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,01PH774,172.20.13.213,,,,,,,,,,,,,,,,,,,,,,,,,,25032794,26033665,25032794,26033665,25032794,26033665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 2100 Series,2090,Hewlett-Packard,LaserJet 2100 Series,LaserJet 2100 Series,Managed,,USGZ258249,172.20.13.237,,,,,,,,,,,,,,,,,,,,,,,,,,85857,86280,85857,86280,85857,86280,0,86280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8600 N911g,1933,Hewlett-Packard,Officejet Pro 8600 N911g,Officejet Pro 8600 N911g,Managed,,CN31GB3JG605KD,172.20.13.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,05/13/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,E360dn,1814,Lexmark,E360dn,E360dn,Managed,,72N9KXL,172.20.13.219,,,,,,,,,,,,,,,,,,,,,,,,,,256944,278767,256944,278767,256944,278767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,96,1818,Lexmark,X792,X792,Managed,,7562209472TG6,172.20.13.230,,,,,,,,,,,,,,,,,,,,,,,,,,91472,106160,34779,39551,34779,39551,34782,39551,47356,56291,0,0,649,718,24,24,8705,9600,0,0,0,0,50,50,80,90,Yes,,,,,10/21/2013,02/21/2015,05/23/2015,05/22/2015,Legal
Lexmark,1.0,BunzlDistribution,MX-4110N,1726,Sharp,MX-4110N,MX-4110N,Managed,,2510094700,172.20.13.202,,,,,,,,,,,,,,,,,,,,,,,,,,892011,1011507,772528,863225,772528,863225,729175,816202,112251,140806,0,0,0,0,39711,43357,46943,50833,0,0,0,0,50,0,50,50,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,157,1738,Lexmark,MS911de,MS911de,Managed,,4021013000329,172.20.13.216,,,,,,,,,,,,,,,,,,,,,,,,,,43803,68072,43803,68072,43803,68072,43803,68072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,,,,Yes,,,,,09/10/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 1832 7942Z07 LR.JP.P225,1865,Unknown,InfoPrint 1832 7942Z07 LR.JP.P225,InfoPrint 1832 7942Z07 LR.JP.P225,Managed,,7942Z07-78-14,172.20.13.212,,,,,,,,,,,,,,,,,,,,,,,,,,423060,446554,423060,446554,423060,446554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8500 A909a,1387992,Hewlett-Packard,Officejet Pro 8500 A909a,Officejet Pro 8500 A909a,Managed,,CN12B5K04N,172.20.12.210,,,,,,,,,,,,,,,,,,,,,,,,,,12710,12710,4476,4476,4476,4476,4476,4476,8234,8234,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8600 N911g,1937,Hewlett-Packard,Officejet Pro 8600 N911g,Officejet Pro 8600 N911g,Managed,,CN37HD4GTC05KD,172.20.13.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,01/17/2014,02/21/2015,05/23/2015,05/22/2015,,
