rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1354,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,000896004F61,172.22.10.231,,,,,,,,,,,,,,,,,,,,,,,,,,28583,44345,28583,44345,28583,44345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500 Cartridge,1705,Unknown,InfoPrint 6500 Cartridge,InfoPrint 6500 Cartridge,Managed,,140B09060B191D,172.22.10.215,,,,,,,,,,,,,,,,,,,,,,,,,,162401533,173724673,162401533,173724673,162401533,173724673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Infoprint 1532 7908BDK LS.ST.P240,1822,IBM,Infoprint 1532 7908BDK LS.ST.P240,Infoprint 1532 7908BDK LS.ST.P240,Managed,,7908BDK-54-4,172.22.10.229,,,,,,,,,,,,,,,,,,,,,,,,,,570230,586828,570230,586828,570230,586828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,ZTC 170Xi4-300dpi ZPL,1381,Zebra Technologies,ZTC 170Xi4-300dpi ZPL,ZTC 170Xi4-300dpi ZPL,Managed,,00:01:E6:A7:8E:AC,172.22.10.206,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 9050,2051,Hewlett-Packard,LaserJet 9050,LaserJet 9050,Managed,,JPRL78800D,172.22.10.203,,,,,,,,,,,,,,,,,,,,,,,,,,129972,130079,129972,130079,129972,130079,129972,130079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,03/02/2015,,
Lexmark,1.0,BunzlDistribution,141,1782,Lexmark,CS410dn,CS410dn,Managed,,5027189455KFD,172.22.10.202,,,,,,,,,,,,,,,,,,,,,,,,,,5326,6607,1776,2185,1776,2185,1775,2184,3550,4422,0,0,0,0,0,0,0,0,0,0,0,0,20,40,50,193,Yes,,,,,07/22/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,141,1782,Lexmark,CS410dn,CS410dn,Managed,,5027189455KFD,172.22.10.202,,,,,,,,,,,,,,,,,,,,,,,,,,5326,6607,1776,2185,1776,2185,1775,2184,3550,4422,0,0,0,0,0,0,0,0,0,0,0,0,20,100,100,,Yes,,,,,07/22/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500 Cartridge,1614,Unknown,InfoPrint 6500 Cartridge,InfoPrint 6500 Cartridge,Managed,,140B0209033A22,172.22.10.205,,,,,,,,,,,,,,,,,,,,,,,,,,74978226,76282061,74978226,76282061,74978226,76282061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P2055dn,2114,Hewlett-Packard,LaserJet P2055dn,LaserJet P2055dn,Managed,,VNB3R55264,172.22.10.72,,,,,,,,,,,,,,,,,,,,,,,,,,13127,14532,13127,14532,13127,14532,13127,14532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,100,1503386,Lexmark,MS610dn,MS610dn,Managed,,451445HH21H38,172.22.10.203,,,,,,,,,,,,,,,,,,,,,,,,,,61,2374,61,2374,61,2374,68,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,03/03/2015,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,98,1767,Lexmark,MS310dn,MS310dn,Managed,,451433LM13KRN,172.22.10.225,,,,,,,,,,,,,,,,,,,,,,,,,,4385,,4385,,4385,,,,,,,,,,,,,,,,,,66,,,,Yes,,,,,03/31/2014,02/21/2015,05/23/2015,02/06/2015,,
