rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,LaserJet 1320 series,2011,Hewlett-Packard,LaserJet 1320 series,LaserJet 1320 series,Managed,,CNFD51N012,172.26.10.229,,,,,,,,,,,,,,,,,,,,,,,,,,147670,162347,147670,162347,147670,162347,147670,162347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2106,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VNB3R01976,172.26.10.240,,,,,,,,,,,,,,,,,,,,,,,,,,228676,250445,228676,250445,228676,250445,228676,250445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 1320 series,1960,Hewlett-Packard,LaserJet 1320 series,LaserJet 1320 series,Managed,,CNBC48514C,172.26.10.233,,,,,,,,,,,,,,,,,,,,,,,,,,79836,82397,79836,82397,79836,82397,79836,82397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500 Cartridge,1694,Unknown,InfoPrint 6500 Cartridge,InfoPrint 6500 Cartridge,Managed,,140B080F0C3612,172.26.10.207,,,,,,,,,,,,,,,,,,,,,,,,,,581622522,617660807,581622522,617660807,581622522,617660807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500 Cartridge,1686,Unknown,InfoPrint 6500 Cartridge,InfoPrint 6500 Cartridge,Managed,,140B080F02092F,172.26.10.213,,,,,,,,,,,,,,,,,,,,,,,,,,52482423,56610928,52482423,56610928,52482423,56610928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,HL-3170CDW series,2069,Brother,HL-3170CDW series,HL-3170CDW series,Managed,,U63478C3J143060,172.26.10.236,,,,,,,,,,,,,,,,,,,,,,,,,,1002,1311,1002,1311,1002,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,04/28/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Aficio MP C4000,2092,Ricoh,Aficio MP C4000,Aficio MP C4000,Managed,,V1296000981,172.26.10.226,,,,,,,,,,,,,,,,,,,,,,,,,,450019,460024,212685,218432,212685,218432,125615,130370,184555,188248,15613,16335,4216,4403,82829,83633,135608,136977,10391,11002,0,0,50,50,100,5,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,04/28/2015,SW Region
Lexmark,1.0,BunzlDistribution,Color LaserJet CP1518ni,1389036,Hewlett-Packard,Color LaserJet CP1518ni,Color LaserJet CP1518ni,Managed,,CNCC8BH0WS,172.26.10.237,,,,,,,,,,,,,,,,,,,,,,,,,,15771,16788,3864,4263,3864,4263,3864,4263,11907,12525,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,HP Color LaserJet CP1518ni
Lexmark,1.0,BunzlDistribution,LPT1:,1775,Unknown,LPT1:,LPT1:,Managed,,451444LM1H28M-99-0,172.26.10.95,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,08/07/2014,02/21/2015,05/23/2015,03/25/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 9040,2050,Hewlett-Packard,LaserJet 9040,LaserJet 9040,Managed,,JPRCCCX25L,172.26.10.210,,,,,,,,,,,,,,,,,,,,,,,,,,380278,415535,380278,415535,380278,415535,380361,415535,0,0,0,0,0,0,0,0,0,0,2,2,0,0,51,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LPT1:,354481,Unknown,LPT1:,LPT1:,Managed,,00:E0:C5:5D:C9:6E,172.26.10.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,05/16/2015,02/21/2015,05/23/2015,05/22/2015,Your Location Here
Lexmark,1.0,BunzlDistribution,InfoPrint 1852 793RBBH LR.JP.P224a,1860,Unknown,InfoPrint 1852 793RBBH LR.JP.P224a,InfoPrint 1852 793RBBH LR.JP.P224a,Managed,,793RBBH-78-14,172.26.10.222,,,,,,,,,,,,,,,,,,,,,,,,,,80920,81764,80920,81764,80920,81764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8600 N911a,1927,Hewlett-Packard,Officejet Pro 8600 N911a,Officejet Pro 8600 N911a,Managed,,CN24OBT30105KC,172.26.10.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/31/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LPT1:,1490,Unknown,LPT1:,LPT1:,Managed,,00:E0:C5:5A:65:1B,172.26.10.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,Your Location Here
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2126,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VNB3Y75319,172.26.10.205,,,,,,,,,,,,,,,,,,,,,,,,,,21775,25976,21775,25976,21775,25976,21776,25976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,,,,Yes,,,,,11/26/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 1852 793RBBH LR.JP.P224a,263741,Unknown,InfoPrint 1852 793RBBH LR.JP.P224a,InfoPrint 1852 793RBBH LR.JP.P224a,Managed,,793RBBH,172.26.10.222,,,,,,,,,,,,,,,,,,,,,,,,,,80887,,80887,,80887,,,,,,,,,,,,,,,,,,,,,,,,,,,09/06/2013,02/21/2015,05/23/2015,02/18/2015,,
