,Account Name,Office Depot USA,,,,,,,,,,,,,
,Create Date,Dec 21 2012,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ignore,Tag,Make,Model,Serial Number,IP Address,MAC Address,Location,Meter Date 1,Total Meter 1,BW Meter 1,Color Meter 1,Meter Date 2,Total Meter 2,BW Meter 2,Color Meter 2
,28ABE67D,Hewlett-Packard,Color LaserJet CP4520/CP4525 Series,JPBCC1254W,10.0.36.23,3C-4A-92-45-07-DE, ,Dec 20 2012,109689,30338,79351,Sep 26 2012,88958,22390,66568
,632F87F1,Hewlett-Packard,LaserJet P3010 Series,VNBCC711L5,10.30.44.97,78-E3-B5-FC-D1-B8, ,Dec 20 2012,16689,16689,,Sep 26 2012,13604,13604,
,07FEB7AA,Hewlett-Packard,LaserJet P4015,CNDY805075,10.30.43.9,00-23-7D-89-BA-DD, ,Dec 20 2012,3070,3040,,Sep 26 2012,3047,3047,
,1D631166,Epson,Artisan 830,,10.0.36.21,00-26-AB-C2-03-26, ,Dec 20 2012,0,,,Sep 26 2012,0,,
,1ECB413B,Ricoh,Aficio MP 2352,W412L400248,10.64.21.22,00-26-73-3C-93-8E, ,Dec 17 2012,4368,3418,,Sep 26 2012,2884,2313,
,4E5D986B,Hewlett-Packard,LaserJet 2420,CNGJF30890,10.30.34.175,00-14-38-D3-F2-10, ,Dec 20 2012,117908,117749,,Sep 26 2012,111922,111922,
,35202EB0,Hewlett-Packard,LaserJet 2420,CNGKM07088,10.30.34.143,00-14-38-D2-6B-D7, ,Dec 20 2012,170790,170759,,Sep 26 2012,164790,164790,
,6395034B,Hewlett-Packard,LaserJet 2200,CNGRH20456,10.30.34.144,00-01-E6-3B-00-D3, ,Dec 20 2012,301857,,,Sep 26 2012,295207,,
,BC790544,Hewlett-Packard,LaserJet 2420,CNGKK78975,10.30.37.17,00-14-38-8A-30-FE, ,Dec 20 2012,98174,98170,,Sep 26 2012,94354,94354,
,33E93B53,Hewlett-Packard,LaserJet 2420,CNGJF30886,10.30.34.111,00-14-38-D3-95-DA, ,Dec 20 2012,116256,116226,,Sep 26 2012,107631,107631,
