,Account Name,Office Depot USA,,,,,,,,,,,,,
,Create Date,Jan 11 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ignore,Tag,Make,Model,Serial Number,IP Address,MAC Address,Location,Meter Date 1,Total Meter 1,BW Meter 1,Color Meter 1,Meter Date 2,Total Meter 2,BW Meter 2,Color Meter 2
,0E0C6D01,Hewlett-Packard,LaserJet 4100 Series,USBNJ47780,172.19.4.132,00-11-0A-C2-B9-7E, ,Oct 29 2012,8958,,,Aug 14 2012,8448,,
,CF18E5EF,Hewlett-Packard,LaserJet P4015,CNDYC46389,172.30.10.87,10-1F-74-48-4D-6F, ,Oct 29 2012,36241,36241,,Aug 14 2012,29807,29807,
,BE684B45,Hewlett-Packard,LaserJet 4350,CNGXC48648,172.19.4.124,00-1A-4B-24-33-1A, ,Oct 29 2012,194241,194241,,Aug 14 2012,188519,188519,
,414983F8,Hewlett-Packard,LaserJet P4015,JPDF233531,172.19.8.64,00-23-7D-8C-80-8F, ,Oct 26 2012,103530,103530,,Aug 14 2012,92800,92800,
,6AFE74FB,Hewlett-Packard,LaserJet 4350,CNBXH02070,172.19.8.67,00-12-79-82-25-2A, ,Oct 29 2012,228491,228491,,Aug 14 2012,224284,224284,
,D5B49BB0,Hewlett-Packard,LaserJet 4350,CNBXB37969,172.19.8.66,00-12-79-82-55-30, ,Oct 29 2012,240559,240559,,Aug 14 2012,236938,236938,
,E70D3DA5,Hewlett-Packard,LaserJet 4350,CNGXF19093,172.19.8.65,00-14-38-65-23-FC, ,Oct 29 2012,303488,303488,,Aug 14 2012,298340,298340,
,3CC9F1DA,Hewlett-Packard,LaserJet 4350,CNBXF13569,172.19.8.68,00-14-38-64-10-BA, ,Oct 29 2012,222640,222640,,Aug 14 2012,220659,220659,
,D8F2B82B,Hewlett-Packard,LaserJet 4350,CNBXH02082,172.19.8.69,00-12-79-82-85-2C, ,Oct 29 2012,247995,247995,,Aug 14 2012,243276,243276,
,3A28F25F,Hewlett-Packard,LaserJet 600 M602,TD21LGV,172.19.6.161,24-BE-05-E7-4D-06, ,Oct 14 2012,37805,37805,,Aug 14 2012,10515,10515,
,16C30E82,Hewlett-Packard,LaserJet 4350,CNBXD26092,172.19.8.70,00-12-79-82-65-B6, ,Oct 29 2012,92458,92458,,Aug 14 2012,90553,90553,
,DC1C0894,Hewlett-Packard,LaserJet 4350,CNBXD26089,172.19.8.71,00-12-79-82-55-4B, ,Oct 29 2012,122083,122083,,Aug 14 2012,121122,121122,
,0BDD100C,Hewlett-Packard,LaserJet 4350,CNGXC75091,172.19.8.72,00-17-08-85-CF-F8, ,Oct 29 2012,99566,99566,,Aug 14 2012,95732,95732,
,8D1C755F,Hewlett-Packard,LaserJet 600 M602,TD052DX,172.19.4.76,80-C1-6E-90-91-F2, ,Oct 29 2012,12232,12232,,Aug 14 2012,5584,5584,
,92C93558,Hewlett-Packard,LaserJet 4100 Series,USLNK24375,172.19.8.78,00-01-E6-7E-5F-C1, ,Oct 29 2012,152605,,,Aug 14 2012,151418,,
,A8A9103A,Hewlett-Packard,LaserJet P4015,CNDYB34167,172.19.6.63,78-AC-C0-91-B6-68, ,Oct 29 2012,69381,69381,,Aug 14 2012,58933,58933,
,CA06F792,Hewlett-Packard,LaserJet 4200,CNBX404308,172.19.4.84,00-01-E6-9C-71-DC, ,Oct 28 2012,476848,,,Aug 14 2012,472460,,
,89BE5AE5,Hewlett-Packard,LaserJet 4350,CNGXD77232,172.19.6.173,00-14-38-D1-C3-03, ,Oct 29 2012,349458,349458,,Aug 14 2012,347767,347767,
,EDE4A753,Hewlett-Packard,LaserJet P4015,CNDYC65848,172.18.10.25,2C-76-8A-41-20-47, ,Oct 26 2012,30769,30769,,Aug 14 2012,18644,18644,
,01FB7B85,Hewlett-Packard,LaserJet 4350,CNRXL40614,172.19.4.42,2C-27-D7-0E-6A-A2, ,Oct 29 2012,348222,348222,,Aug 14 2012,336059,336059,
,390D3704,Hewlett-Packard,LaserJet 4350,CNRXC96132,172.19.4.121,00-1A-4B-10-B5-82, ,Oct 29 2012,273969,273969,,Aug 14 2012,270393,270393,
,9DD2A439,Hewlett-Packard,LaserJet P4515n,CNDY205726,172.19.4.102,00-1B-78-27-D0-80, ,Oct 29 2012,86322,86322,,Aug 14 2012,83950,83950,
,19290C37,Hewlett-Packard,LaserJet P4015,CNDYB34353,172.19.4.112,98-4B-E1-38-68-16, ,Oct 29 2012,126830,126830,,Aug 14 2012,113890,113890,
,FE03F6FA,Hewlett-Packard,LaserJet P4015,CNDY915544,172.19.4.104,78-E7-D1-AB-02-6E, ,Oct 29 2012,50009,50009,,Aug 14 2012,45383,45383,
,7DBF804E,Hewlett-Packard,LaserJet 4350,CNGXD77784,172.19.6.174,00-14-38-CF-17-7B, ,Oct 29 2012,399427,399427,,Aug 14 2012,384249,384249,
,9B03998C,Hewlett-Packard,LaserJet 4350,CNGXD77228,172.19.4.134,00-14-38-CF-17-74, ,Oct 29 2012,199381,199381,,Aug 14 2012,190233,190233,
,B78C5AC1,Hewlett-Packard,LaserJet P4015,CNDYC00038,172.19.4.105,98-4B-E1-38-F8-A9, ,Oct 29 2012,113017,113017,,Aug 14 2012,101530,101530,
,28B195A2,Hewlett-Packard,LaserJet 4350,CNGXD77219,172.19.6.170,00-14-38-CF-17-B3, ,Oct 29 2012,235730,235730,,Aug 14 2012,230901,230901,
,360CA9AD,Hewlett-Packard,LaserJet 4350,CNGXF79893,172.19.6.171,00-14-38-CE-FE-B6, ,Oct 29 2012,225671,225671,,Aug 14 2012,218583,218583,
,98C0CD0A,Hewlett-Packard,LaserJet 4350,CNRXR69643,172.19.4.140,00-1E-0B-07-AB-19, ,Oct 29 2012,965489,965489,,Aug 14 2012,924159,924159,
,7952D713,Hewlett-Packard,LaserJet 4350,CNBXB39812,172.19.4.106,00-12-79-82-7A-08, ,Oct 29 2012,323038,323038,,Aug 14 2012,314213,314213,
,C702E550,Hewlett-Packard,LaserJet 4350,CNRXS02156,172.19.4.85,00-17-A4-98-06-6D, ,Oct 29 2012,315841,315841,,Aug 14 2012,301984,301984,
,DEF12D21,Hewlett-Packard,LaserJet 4350,CNGXF79497,172.19.4.118,00-14-38-CF-47-41, ,Oct 29 2012,131621,131621,,Aug 14 2012,127345,127345,
,737E7C23,Hewlett-Packard,LaserJet 4350,CNGXC48655,172.19.6.172,00-14-38-CF-F4-21, ,Oct 29 2012,206499,206499,,Aug 14 2012,204049,204049,
,ABB63D21,Hewlett-Packard,LaserJet P4015,CNDYC31946,172.18.10.26,9C-8E-99-8A-A8-0C, ,Oct 26 2012,52781,52781,,Aug 14 2012,30601,30601,
,098ECB35,Hewlett-Packard,LaserJet 4350,CNGXF79901,172.19.6.176,00-14-38-D1-C3-CC, ,Oct 29 2012,263247,263247,,Aug 14 2012,260799,260799,
,5C4F1DA7,Hewlett-Packard,LaserJet 4350,CNDXC09759,172.19.4.111,00-13-21-24-54-BC, ,Oct 29 2012,207902,207902,,Aug 14 2012,206613,206613,
,8B5C1987,Hewlett-Packard,LaserJet 4350,CNBXF09860,172.19.4.141,00-12-79-80-F8-48, ,Oct 29 2012,502798,502798,,Aug 14 2012,500708,500708,
,496C7EF8,Hewlett-Packard,LaserJet 4350,CNBXH02077,172.19.4.142,00-12-79-82-85-2E, ,Oct 29 2012,250515,250515,,Aug 14 2012,247203,247203,
,CC2251A8,Hewlett-Packard,LaserJet 4300,CNGY404823,172.19.4.92,00-11-0A-C4-02-24, ,Oct 29 2012,732643,,,Aug 14 2012,730693,,
,82A3563F,Hewlett-Packard,LaserJet P4015,CNDYC37536,172.19.4.115,9C-8E-99-8A-B8-91, ,Oct 29 2012,107941,107941,,Aug 14 2012,82264,82264,
,A7B9467B,Hewlett-Packard,LaserJet 4350,CNGXC40193,172.19.4.136,00-14-38-D1-0A-4E, ,Oct 29 2012,262820,262820,,Aug 14 2012,256062,256062,
,B62C5E08,Hewlett-Packard,LaserJet 4350,CNBXF15166,172.19.4.107,00-12-79-82-7A-24, ,Oct 29 2012,565350,565350,,Aug 14 2012,554169,554169,
,B3000312,Hewlett-Packard,LaserJet 4350,USDXN02225,172.19.4.110,00-13-21-23-1A-14, ,Oct 29 2012,410487,410487,,Aug 14 2012,392792,392792,
,9051993B,Hewlett-Packard,LaserJet 4350,CNGXB08271,172.19.4.88,00-14-38-5A-CF-97, ,Oct 29 2012,643013,643013,,Aug 14 2012,638653,638653,
,9BCF129C,Hewlett-Packard,LaserJet 4350,CNGXF79894,172.19.4.150,00-14-38-CF-17-1F, ,Oct 29 2012,320221,320221,,Aug 14 2012,313587,313587,
,17A74E47,Hewlett-Packard,LaserJet P4515n,CNDY130982,172.19.4.103,00-1F-29-20-85-51, ,Oct 29 2012,257995,257995,,Aug 14 2012,254430,254430,
,64D8A5B9,Hewlett-Packard,LaserJet 4350,CNGXD06340,172.19.4.113,00-14-38-60-B3-AC, ,Oct 26 2012,314548,314548,,Aug 14 2012,307311,307311,
,A7720355,Hewlett-Packard,LaserJet 4350,CNGXC63366,172.19.4.75,00-14-38-D9-BC-89, ,Oct 29 2012,710325,710325,,Aug 14 2012,707676,707676,
,34ADE9AA,Hewlett-Packard,LaserJet 4350,CNGXB19305,172.19.4.114,00-14-38-87-6D-42, ,Oct 29 2012,283156,283156,,Aug 14 2012,280995,280995,
,8E7D479B,Hewlett-Packard,LaserJet 4300,CNGY301576,172.19.4.93,00-1B-78-F0-00-E3, ,Oct 29 2012,252822,,,Aug 14 2012,250335,,
,036FDF61,Hewlett-Packard,LaserJet P4015,CNDY942580,172.19.4.83,3C-D9-2B-9F-E7-4F, ,Oct 29 2012,95960,95960,,Aug 14 2012,80932,80932,
,B5BC2AB7,Hewlett-Packard,LaserJet 4350,CNBXB40052,172.19.4.108,00-12-79-82-7A-47, ,Oct 29 2012,397395,397395,,Aug 14 2012,391834,391834,
,FF1EC181,Hewlett-Packard,LaserJet P4015,CNDY199489,172.19.4.138,00-23-7D-86-27-0F, ,Oct 29 2012,174051,174051,,Aug 14 2012,161007,161007,
,115828FC,Hewlett-Packard,LaserJet 4350,CNBXF15150,172.19.4.109,00-12-79-82-BE-18, ,Oct 29 2012,517187,517187,,Aug 14 2012,501337,501337,
