,Account Name,Sample_2,,,,,,,,,,,,,
,Create Date,Jan 29 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ignore,Tag,Make,Model,Serial Number,IP Address,MAC Address,Location,Meter Date 1,Total Meter 1,BW Meter 1,Color Meter 1,Meter Date 2,Total Meter 2,BW Meter 2,Color Meter 2
,8F02E22E,Kyocera,FS-3900DN,XPJ7111474,192.0.0.67,00-C0-EE-6B-B8-61,USA/IL/,Jan 25 2013,105423,,,Jun 29 2012,94713,,
,C82109BD,Hewlett-Packard,LaserJet 4050 Series,USCC157311,192.151.15.51,00-30-C1-57-08-66,USA/IL/,Jan 25 2013,162610,,,Jun 29 2012,162079,,
,E75818F0,Kyocera,FS-3920DN,XVJ0Y14483,199.244.34.15,00-C0-EE-4A-D7-F3,USA/IL/,Jan 25 2013,10369,,,Jun 29 2012,7158,,
,7E710470,Hewlett-Packard,LaserJet 4050 Series,USBD012539,10.86.6.9,00-30-C1-5E-EF-D6,USA/IL/,Jan 25 2013,498242,,,Jun 29 2012,493780,,
,E59AAFBC,Hewlett-Packard,Color LaserJet CP2025n,CNBS108069,10.86.6.21,00-21-5A-8D-90-25,USA/IL/,Jan 25 2013,21006,12804,8202,Jun 29 2012,18681,11594,7087
,416B55B2,Kyocera,FS-3920DN,XVJ0Y15618,199.244.34.73,00-C0-EE-4A-FC-6A,USA/IL/,Jan 25 2013,3618,,,Jun 29 2012,3179,,
,7CEE52E4,Hewlett-Packard,LaserJet Pro M1212nf MFP,CNC9B8JS0M,10.86.6.19,D4-85-64-1F-86-CF,USA/IL/,Jan 25 2013,6535,,,Jun 29 2012,6424,,
,E81DCEE2,Kyocera,FS-3920DN,XVJ0Y14487,10.11.31.18,00-C0-EE-4A-CD-E8,USA/IL/,Jan 25 2013,57515,,,Jun 29 2012,41986,,
,954D59C6,Ricoh,Aficio SP C410DN,Q7079200160,199.244.34.19,00-00-74-C7-E5-2E,USA/IL/,Aug 30 2012,31302,13154,18148,Jun 29 2012,31302,13154,18148
,46AA45C1,Seiko Instruments  Inc.,Seiko Instruments Inc. LP-1010L v 05C - Printer,,10.2.6.200,08-00-83-2A-0C-B0,USA/IL/,,,,,,,,
,629F6155,Xerox,WorkCentre 7232,GBP243510,10.2.6.174,08-00-37-82-4C-78,USA/IL/,Jan 28 2013,15425,6778,8647,Jun 29 2012,11807,5684,6123
,F1FFAE3C,Kyocera,FS-3920DN,XVJ9703680,192.151.25.91,00-C0-EE-48-B0-3C,USA/IL/,Jan 25 2013,0,,,Jun 29 2012,24250,,
,5F529CE8,Xerox,WorkCentre 7535,XKK402048,10.2.6.171,9C-93-4E-02-52-57,USA/IL/,Jan 2 2013,4022,2533,1489,Jun 29 2012,3571,2110,1461
